season,average_attendance
1992.,1754.55
1992./93.,5342.86
1993./94.,4726.47
1994./95.,9266.67
1995./96.,6312.50
1996./97.,3533.33
1997./98.,4593.75
1998./99.,3406.67
1999./00.,1852.94
2000./01.,2775.00
2001./02.,1426.67
2002./03.,1181.25
2003./04.,3187.50
2004./05.,2575.00
2005./06.,3593.75
2006./07.,2950.00
2007./08.,2282.35
2008./09.,3343.75
2009./10.,2066.67
2010./11.,2400.00
2011./12.,1680.00
2012./13.,1731.25
2013./14.,2682.35
2014./15.,3211.11
2015./16.,1520.06
2016./17.,3117.89
2017./18.,3207.56
2018./19.,2533
2019./20.,3046.17
